file,K,symmetry_name,front_direction,aligned,needs_correction,rotation_needed
airplane/airplane_0001.ply,1,1个正面,+Z,NO,YES,绕Y轴旋转180°
airplane/airplane_0002.ply,1,1个正面,-X,NO,YES,绕Y轴旋转+90°
airplane/airplane_0003.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0004.ply,1,1个正面,-X,NO,YES,绕Y轴旋转+90°
airplane/airplane_0005.ply,1,1个正面,-X,NO,YES,绕Y轴旋转+90°
airplane/airplane_0006.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0007.ply,1,1个正面,-X,NO,YES,绕Y轴旋转+90°
airplane/airplane_0008.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0009.ply,1,1个正面,-X,NO,YES,绕Y轴旋转+90°
airplane/airplane_0010.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0011.ply,1,1个正面,+X,NO,YES,绕Y轴旋转-90°
airplane/airplane_0012.ply,1,1个正面,-X,NO,YES,绕Y轴旋转+90°
airplane/airplane_0013.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0014.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0015.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0016.ply,1,1个正面,-X,NO,YES,绕Y轴旋转+90°
airplane/airplane_0017.ply,1,1个正面,+X,NO,YES,绕Y轴旋转-90°
airplane/airplane_0018.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0019.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0020.ply,1,1个正面,-X,NO,YES,绕Y轴旋转+90°
airplane/airplane_0021.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0022.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0023.ply,1,1个正面,+Z,NO,YES,绕Y轴旋转180°
airplane/airplane_0024.ply,1,1个正面,-X,NO,YES,绕Y轴旋转+90°
airplane/airplane_0025.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0026.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0027.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0028.ply,1,1个正面,-X,NO,YES,绕Y轴旋转+90°
airplane/airplane_0029.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0030.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0031.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0032.ply,1,1个正面,-X,NO,YES,绕Y轴旋转+90°
airplane/airplane_0033.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0034.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0035.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0036.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0037.ply,1,1个正面,-X,NO,YES,绕Y轴旋转+90°
airplane/airplane_0038.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0039.ply,1,1个正面,-X,NO,YES,绕Y轴旋转+90°
airplane/airplane_0040.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0041.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0042.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0043.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0044.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0045.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0046.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0047.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0048.ply,1,1个正面,-X,NO,YES,绕Y轴旋转+90°
airplane/airplane_0049.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0050.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0051.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0052.ply,1,1个正面,+X,NO,YES,绕Y轴旋转-90°
airplane/airplane_0053.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0054.ply,1,1个正面,+Z,NO,YES,绕Y轴旋转180°
airplane/airplane_0055.ply,1,1个正面,-X,NO,YES,绕Y轴旋转+90°
airplane/airplane_0056.ply,1,1个正面,-X,NO,YES,绕Y轴旋转+90°
airplane/airplane_0057.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0058.ply,1,1个正面,+X,NO,YES,绕Y轴旋转-90°
airplane/airplane_0059.ply,1,1个正面,-X,NO,YES,绕Y轴旋转+90°
airplane/airplane_0060.ply,1,1个正面,-X,NO,YES,绕Y轴旋转+90°
airplane/airplane_0061.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0062.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0063.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0064.ply,1,1个正面,-X,NO,YES,绕Y轴旋转+90°
airplane/airplane_0065.ply,1,1个正面,-X,NO,YES,绕Y轴旋转+90°
airplane/airplane_0066.ply,1,1个正面,-X,NO,YES,绕Y轴旋转+90°
airplane/airplane_0067.ply,1,1个正面,-X,NO,YES,绕Y轴旋转+90°
airplane/airplane_0068.ply,1,1个正面,+X,NO,YES,绕Y轴旋转-90°
airplane/airplane_0069.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0070.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0071.ply,1,1个正面,-X,NO,YES,绕Y轴旋转+90°
airplane/airplane_0072.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0073.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0074.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0075.ply,1,1个正面,-X,NO,YES,绕Y轴旋转+90°
airplane/airplane_0076.ply,1,1个正面,-X,NO,YES,绕Y轴旋转+90°
airplane/airplane_0077.ply,1,1个正面,-X,NO,YES,绕Y轴旋转+90°
airplane/airplane_0078.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0079.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0080.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0081.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0082.ply,1,1个正面,-X,NO,YES,绕Y轴旋转+90°
airplane/airplane_0083.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0084.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0085.ply,1,1个正面,-X,NO,YES,绕Y轴旋转+90°
airplane/airplane_0086.ply,1,1个正面,+Z,NO,YES,绕Y轴旋转180°
airplane/airplane_0087.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0088.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0089.ply,1,1个正面,-X,NO,YES,绕Y轴旋转+90°
airplane/airplane_0090.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0091.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0092.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0093.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0094.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0095.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0096.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0097.ply,1,1个正面,-X,NO,YES,绕Y轴旋转+90°
airplane/airplane_0098.ply,1,1个正面,-X,NO,YES,绕Y轴旋转+90°
airplane/airplane_0099.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0100.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0101.ply,1,1个正面,+Z,NO,YES,绕Y轴旋转180°
airplane/airplane_0102.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0103.ply,1,1个正面,+X,NO,YES,绕Y轴旋转-90°
airplane/airplane_0104.ply,1,1个正面,+X,NO,YES,绕Y轴旋转-90°
airplane/airplane_0105.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0106.ply,1,1个正面,+Z,NO,YES,绕Y轴旋转180°
airplane/airplane_0107.ply,1,1个正面,+Z,NO,YES,绕Y轴旋转180°
airplane/airplane_0108.ply,1,1个正面,+X,NO,YES,绕Y轴旋转-90°
airplane/airplane_0109.ply,1,1个正面,+X,NO,YES,绕Y轴旋转-90°
airplane/airplane_0110.ply,1,1个正面,-X,NO,YES,绕Y轴旋转+90°
airplane/airplane_0111.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0112.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0113.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0114.ply,1,1个正面,-X,NO,YES,绕Y轴旋转+90°
airplane/airplane_0115.ply,1,1个正面,-X,NO,YES,绕Y轴旋转+90°
airplane/airplane_0116.ply,1,1个正面,-X,NO,YES,绕Y轴旋转+90°
airplane/airplane_0117.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0118.ply,1,1个正面,+Z,NO,YES,绕Y轴旋转180°
airplane/airplane_0119.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0120.ply,1,1个正面,+X,NO,YES,绕Y轴旋转-90°
airplane/airplane_0122.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0123.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0124.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0125.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0126.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0127.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0128.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0129.ply,1,1个正面,-X,NO,YES,绕Y轴旋转+90°
airplane/airplane_0130.ply,1,1个正面,-X,NO,YES,绕Y轴旋转+90°
airplane/airplane_0131.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0132.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0133.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0134.ply,1,1个正面,-X,NO,YES,绕Y轴旋转+90°
airplane/airplane_0135.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0136.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0137.ply,1,1个正面,+Z,NO,YES,绕Y轴旋转180°
airplane/airplane_0138.ply,1,1个正面,-X,NO,YES,绕Y轴旋转+90°
airplane/airplane_0139.ply,1,1个正面,-X,NO,YES,绕Y轴旋转+90°
airplane/airplane_0140.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0141.ply,1,1个正面,-X,NO,YES,绕Y轴旋转+90°
airplane/airplane_0142.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0143.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0144.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0145.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0146.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0147.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0148.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0149.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0150.ply,1,1个正面,-X,NO,YES,绕Y轴旋转+90°
airplane/airplane_0151.ply,1,1个正面,-X,NO,YES,绕Y轴旋转+90°
airplane/airplane_0152.ply,1,1个正面,-X,NO,YES,绕Y轴旋转+90°
airplane/airplane_0153.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0154.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0155.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0156.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0157.ply,1,1个正面,-X,NO,YES,绕Y轴旋转+90°
airplane/airplane_0158.ply,1,1个正面,-X,NO,YES,绕Y轴旋转+90°
airplane/airplane_0159.ply,1,1个正面,+X,NO,YES,绕Y轴旋转-90°
airplane/airplane_0160.ply,1,1个正面,+X,NO,YES,绕Y轴旋转-90°
airplane/airplane_0161.ply,1,1个正面,-X,NO,YES,绕Y轴旋转+90°
airplane/airplane_0162.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
airplane/airplane_0163.ply,1,1个正面,-Z,YES,NO,无需旋转（已对齐）
